name,Attack,Clean_Loss,Clean_Acc,Adversarial_Loss,Adversarial_Acc,Attack_Success_Rate,Robustness_Gap
cifar2_ntrain1000__rep3,SA,0.286428302526474,0.9099999666213989,0.5998648405075073,0.375,0.625,0.5349999666213989
cifar2_ntrain1000__rep4,FGSM,0.25522926449775696,0.9300000071525574,0.5859891176223755,0.429999977350235,0.5700000524520874,0.5
cifar2_ntrain1000__rep4,PGD,0.25522926449775696,0.9300000071525574,0.55131596326828,0.429999977350235,0.5700000524520874,0.5
cifar2_ntrain1000__rep4,APGD,0.25522926449775696,0.9300000071525574,0.5292214751243591,0.429999977350235,0.5700000524520874,0.5
cifar2_ntrain1000__rep4,MIM,0.25522926449775696,0.9300000071525574,0.5880090594291687,0.429999977350235,0.5700000524520874,0.5
cifar2_ntrain1000__rep4,SA,0.25522926449775696,0.9300000071525574,0.572041392326355,0.38499999046325684,0.6150000095367432,0.5450000166893005
cifar2_ntrain1000__rep5,FGSM,0.2576102316379547,0.9199999570846558,0.5410063862800598,0.9149999618530273,0.08500003814697266,0.004999995231628418
cifar2_ntrain1000__rep5,PGD,0.2576102316379547,0.9199999570846558,0.482399046421051,0.9199999570846558,0.08000004291534424,0.0
cifar2_ntrain1000__rep5,APGD,0.2576102316379547,0.9199999570846558,0.44817712903022766,0.9199999570846558,0.08000004291534424,0.0
cifar2_ntrain1000__rep5,MIM,0.2576102316379547,0.9199999570846558,0.5422766208648682,0.9149999618530273,0.08500003814697266,0.004999995231628418
cifar2_ntrain1000__rep5,SA,0.2576102316379547,0.9199999570846558,0.4708273112773895,0.9199999570846558,0.08000004291534424,0.0
cifar2_ntrain2000__rep1,FGSM,0.20399528741836548,0.9424999952316284,0.45458894968032837,0.9274999499320984,0.07250005006790161,0.01500004529953003
cifar2_ntrain2000__rep1,PGD,0.20399528741836548,0.9424999952316284,0.3754328191280365,0.9300000071525574,0.06999999284744263,0.012499988079071045
cifar2_ntrain2000__rep1,APGD,0.20399528741836548,0.9424999952316284,0.3285086750984192,0.9399999976158142,0.06000000238418579,0.002499997615814209
