name,top1_error_train,top1_error_test,top5_error_train,top5_error_test
cifar2_ntrain5000_1_5_rep3,0.010444462299346924,0.10499995946884155,0.00977778434753418,0.10199993848800659
cifar2_ntrain5000_1_5_rep4,0.01155555248260498,0.10399997234344482,0.01155555248260498,0.10399997234344482
cifar2_ntrain5000_1_5_rep5,0.01244443655014038,0.11799997091293335,0.011999964714050293,0.11599993705749512
cifar2_ntrain10000_1_5_rep1,0.01122218370437622,0.10049992799758911,0.01122218370437622,0.09999996423721313
cifar2_ntrain10000_1_5_rep2,0.010222196578979492,0.09099996089935303,0.010111093521118164,0.09049993753433228
cifar2_ntrain10000_1_5_rep3,0.009555518627166748,0.08299994468688965,0.009555518627166748,0.08249998092651367
cifar2_ntrain10000_1_5_rep4,0.009999990463256836,0.0954999327659607,0.009999990463256836,0.09499996900558472
cifar2_ntrain10000_1_5_rep5,0.011666655540466309,0.09399998188018799,0.01155555248260498,0.09349995851516724
mnist_ntrain500__rep1,0.07599997520446777,0.04000002145767212,0.059999942779541016,0.010000050067901611
mnist_ntrain500__rep2,0.07599997520446777,0.04000002145767212,0.059999942779541016,0.010000050067901611
mnist_ntrain500__rep3,0.07599997520446777,0.04000002145767212,0.059999942779541016,0.010000050067901611
mnist_ntrain500__rep4,0.07599997520446777,0.04000002145767212,0.059999942779541016,0.010000050067901611
mnist_ntrain500__rep5,0.07599997520446777,0.04000002145767212,0.059999942779541016,0.010000050067901611
mnist_ntrain1000__rep1,0.09499996900558472,0.06499999761581421,0.0639999508857727,0.025000035762786865
mnist_ntrain1000__rep2,0.09499996900558472,0.06499999761581421,0.0639999508857727,0.025000035762786865
mnist_ntrain1000__rep3,0.09499996900558472,0.06499999761581421,0.0639999508857727,0.025000035762786865
mnist_ntrain1000__rep4,0.09499996900558472,0.06499999761581421,0.0639999508857727,0.025000035762786865
mnist_ntrain1000__rep5,0.09499996900558472,0.06499999761581421,0.0639999508857727,0.025000035762786865
mnist_ntrain2000__rep1,0.09149998426437378,0.06499999761581421,0.05649995803833008,0.04000002145767212
mnist_ntrain2000__rep2,0.09149998426437378,0.06499999761581421,0.05649995803833008,0.04000002145767212
mnist_ntrain2000__rep3,0.09149998426437378,0.06499999761581421,0.05649995803833008,0.04000002145767212
mnist_ntrain2000__rep4,0.09149998426437378,0.06499999761581421,0.05649995803833008,0.04000002145767212
mnist_ntrain2000__rep5,0.09149998426437378,0.06499999761581421,0.05649995803833008,0.04000002145767212
mnist_ntrain5000__rep1,0.0658000111579895,0.05399996042251587,0.058600008487701416,0.05399996042251587
mnist_ntrain5000__rep2,0.0658000111579895,0.05399996042251587,0.058600008487701416,0.05399996042251587
mnist_ntrain5000__rep3,0.0658000111579895,0.05399996042251587,0.058600008487701416,0.05399996042251587
mnist_ntrain5000__rep4,0.0658000111579895,0.05399996042251587,0.058600008487701416,0.05399996042251587
mnist_ntrain5000__rep5,0.0658000111579895,0.05399996042251587,0.058600008487701416,0.05399996042251587
mnist_ntrain10000__rep1,0.0666000247001648,0.05199992656707764,0.058500051498413086,0.05199992656707764
mnist_ntrain10000__rep2,0.0666000247001648,0.05199992656707764,0.058500051498413086,0.05199992656707764
mnist_ntrain10000__rep3,0.0666000247001648,0.05199992656707764,0.058500051498413086,0.05199992656707764
mnist_ntrain10000__rep4,0.0666000247001648,0.05199992656707764,0.058500051498413086,0.05199992656707764
mnist_ntrain10000__rep5,0.0666000247001648,0.05199992656707764,0.058500051498413086,0.05199992656707764
mnist_ntrain500_6_9_rep1,0.2959999442100525,0.2800000309944153,0.2799999713897705,0.27000004053115845
mnist_ntrain500_6_9_rep2,0.2959999442100525,0.2800000309944153,0.2799999713897705,0.27000004053115845
mnist_ntrain500_6_9_rep3,0.2959999442100525,0.2800000309944153,0.2799999713897705,0.27000004053115845
mnist_ntrain500_6_9_rep4,0.2959999442100525,0.2800000309944153,0.2799999713897705,0.27000004053115845
mnist_ntrain500_6_9_rep5,0.2959999442100525,0.2800000309944153,0.2799999713897705,0.27000004053115845
mnist_ntrain1000_6_9_rep1,0.29499995708465576,0.24500000476837158,0.23199999332427979,0.23500001430511475
mnist_ntrain1000_6_9_rep2,0.29499995708465576,0.24500000476837158,0.23199999332427979,0.23500001430511475
mnist_ntrain1000_6_9_rep3,0.29499995708465576,0.24500000476837158,0.23199999332427979,0.23500001430511475
mnist_ntrain1000_6_9_rep4,0.29499995708465576,0.24500000476837158,0.23199999332427979,0.23500001430511475
mnist_ntrain1000_6_9_rep5,0.29499995708465576,0.24500000476837158,0.23199999332427979,0.23500001430511475
mnist_ntrain2000_6_9_rep1,0.3019999861717224,0.26500004529953003,0.2279999852180481,0.2200000286102295
mnist_ntrain2000_6_9_rep2,0.3019999861717224,0.26500004529953003,0.2279999852180481,0.2200000286102295
mnist_ntrain2000_6_9_rep3,0.3019999861717224,0.26500004529953003,0.2279999852180481,0.2200000286102295
mnist_ntrain2000_6_9_rep4,0.3019999861717224,0.26500004529953003,0.2279999852180481,0.2200000286102295
mnist_ntrain2000_6_9_rep5,0.3019999861717224,0.26500004529953003,0.2279999852180481,0.2200000286102295
mnist_ntrain5000_6_9_rep1,0.2696000337600708,0.2369999885559082,0.22280001640319824,0.22299998998641968
mnist_ntrain5000_6_9_rep2,0.2696000337600708,0.2369999885559082,0.22280001640319824,0.22299998998641968
mnist_ntrain5000_6_9_rep3,0.2696000337600708,0.2369999885559082,0.22280001640319824,0.22299998998641968
mnist_ntrain5000_6_9_rep4,0.2696000337600708,0.2369999885559082,0.22280001640319824,0.22299998998641968
mnist_ntrain5000_6_9_rep5,0.2696000337600708,0.2369999885559082,0.22280001640319824,0.22299998998641968
