name,generalization_error,precision,recall,f1_score
cifar2_ntrain10000_1_5_rep1,0.14605775475502014,0.8839884947267498,0.922,0.9025942241801272
cifar2_ntrain10000_1_5_rep2,0.15070465207099915,0.8890995260663507,0.938,0.9128953771289537
cifar2_ntrain10000_1_5_rep3,0.12382596731185913,0.8995215311004785,0.94,0.9193154034229829
cifar2_ntrain10000_1_5_rep4,0.1860501766204834,0.8986220472440944,0.913,0.9057539682539683
cifar2_ntrain10000_1_5_rep5,0.1365223079919815,0.8967867575462513,0.921,0.908732116428219
mnist_ntrain500__rep1,-0.05992865562438965,1.0,0.9818181818181818,0.9908256880733946
mnist_ntrain500__rep2,-0.05992865562438965,1.0,0.9818181818181818,0.9908256880733946
mnist_ntrain500__rep3,-0.05992865562438965,1.0,0.9818181818181818,0.9908256880733946
mnist_ntrain500__rep4,-0.05992865562438965,1.0,0.9818181818181818,0.9908256880733946
mnist_ntrain500__rep5,-0.05992865562438965,1.0,0.9818181818181818,0.9908256880733946
mnist_ntrain1000__rep1,-0.0656590461730957,0.98989898989899,0.9702970297029703,0.98
mnist_ntrain1000__rep2,-0.0656590461730957,0.98989898989899,0.9702970297029703,0.98
mnist_ntrain1000__rep3,-0.0656590461730957,0.98989898989899,0.9702970297029703,0.98
mnist_ntrain1000__rep4,-0.0656590461730957,0.98989898989899,0.9702970297029703,0.98
mnist_ntrain1000__rep5,-0.0656590461730957,0.98989898989899,0.9702970297029703,0.98
mnist_ntrain2000__rep1,-0.054112762212753296,0.97,0.9556650246305419,0.9627791563275434
mnist_ntrain2000__rep2,-0.054112762212753296,0.97,0.9556650246305419,0.9627791563275434
mnist_ntrain2000__rep3,-0.054112762212753296,0.97,0.9556650246305419,0.9627791563275434
mnist_ntrain2000__rep4,-0.054112762212753296,0.97,0.9556650246305419,0.9627791563275434
mnist_ntrain2000__rep5,-0.054112762212753296,0.97,0.9556650246305419,0.9627791563275434
mnist_ntrain5000__rep1,-0.005973979830741882,0.9482758620689655,0.9381663113006397,0.9431939978563773
mnist_ntrain5000__rep2,-0.005973979830741882,0.9482758620689655,0.9381663113006397,0.9431939978563773
mnist_ntrain5000__rep3,-0.005973979830741882,0.9482758620689655,0.9381663113006397,0.9431939978563773
mnist_ntrain5000__rep4,-0.005973979830741882,0.9482758620689655,0.9381663113006397,0.9431939978563773
mnist_ntrain5000__rep5,-0.005973979830741882,0.9482758620689655,0.9381663113006397,0.9431939978563773
mnist_ntrain10000__rep1,-0.010589689016342163,0.9522799575821845,0.9432773109243697,0.9477572559366755
mnist_ntrain10000__rep2,-0.010589689016342163,0.9522799575821845,0.9432773109243697,0.9477572559366755
mnist_ntrain10000__rep3,-0.010589689016342163,0.9522799575821845,0.9432773109243697,0.9477572559366755
mnist_ntrain10000__rep4,-0.010589689016342163,0.9522799575821845,0.9432773109243697,0.9477572559366755
